"","phecode","ctrl_w_dz","ctrl_w_dz_exp","case_w_dz","case_w_dz_exp","hazard_ratio","pval","PheWASString","sig"
"47","368.91",19,50.0802894861465,72,40.9197105138535,4.71303353837175,2.16942039551351e-09,"Psychophysical visual disturbances","Significant"
"48","369.5",231,425.989018896346,563,368.010981103654,2.83752659277098,1.9367611251044e-40,"Conjunctivitis, infectious","Significant"
"49","401",58,117.60473828622,167,107.39526171378,3.16229491421493,4.4997170987159e-14,"Hypertension","Significant"
"50","411.9",105,161.597280153384,191,134.402719846616,2.20206708790557,9.80244122159049e-11,"Other acute and subacute forms of ischemic heart disease","Significant"
"51","414.2",208,371.116299969254,510,346.883700030746,2.62758100365589,8.57584401056085e-32,"ASCVD","Significant"
"52","426.2",259,309.983243084551,332,281.016756915449,1.41596884834989,2.82818568186397e-05,"AV block","Significant"
"53","426.21",195,271.783336217868,315,238.216663782132,1.84868758084043,1.7329269064645e-11,"First degree AV block","Significant"
"54","426.31",313,407.863262734584,457,362.136737265416,1.64805649522815,1.08696683962557e-11,"Right bundle branch block","Significant"
"55","427.11",430,494.954352591483,495,430.045647408518,1.32730724301709,1.85534413981575e-05,"Paroxysmal supraventricular tachycardia","Significant"
"56","427.41",48,75.9094588566752,94,66.0905411433248,2.26166561500531,4.53440967071739e-06,"Ventricular fibrillation & flutter","Significant"
"57","429.1",37,64.0107276869602,85,57.9892723130398,2.54866608974849,2.16158517217112e-06,"Heart transplant/surgery","Significant"
"58","433.12",77,256.558588590149,411,231.441411409851,5.95527792094094,1.05651023186434e-46,"Cerebral atherosclerosis","Significant"
"59","440",211,366.191613089171,467,311.808386910829,2.61571502264816,6.89017747518857e-31,"Atherosclerosis","Significant"
"60","441",102,165.069425347739,208,144.930574652261,2.33320477963592,2.7408913085728e-12,"Vascular insufficiency of intestine","Significant"
"61","443.7",58,91.4982800191937,116,82.5017199808063,2.22488839844552,6.9177914629334e-07,"Peripheral angiopathy in diseases classified elsewhere","Significant"
"62","443.8",322,510.017199148571,612,423.982800851429,2.30081234561876,1.73987300369464e-33,"Other specified peripheral vascular diseases","Significant"
"63","444",49,81.0479875455746,104,71.9520124544253,2.39944946254216,4.62246915782858e-07,"Arterial embolism and thrombosis","Significant"
"64","444.1",64,97.6152298746233,120,86.3847701253768,2.12683927610922,1.15419486356919e-06,"Arterial embolism and thrombosis of lower extremity artery","Significant"
"65","446.9",18,40.4546291785637,60,37.5453708214363,3.60793751128646,1.86747144311916e-06,"Arteritis NOS","Significant"
"66","447.1",51,76.5172949758529,92,66.4827050241471,2.08676876968735,2.68095216372269e-05,"Stricture of artery","Significant"
"67","458.2",50,94.8100649234004,127,82.1899350765996,2.94746989785304,1.05883858758578e-10,"Iatrogenic hypotension","Significant"
"68","459",36,82.0848664356855,120,73.9151335643145,3.71817655242082,5.17118688750608e-12,"Other disorders of circulatory system","Significant"
"69","459.1",40,83.9166004326406,118,74.0833995673594,3.35818667285087,3.86428109962901e-11,"Hemorrhage NOS","Significant"
"70","480.12",35,74.24707630136,105,65.75292369864,3.40968967233931,3.61699622546208e-10,"Pseudomonal pneumonia","Significant"
"71","480.13",12,41.9468494584604,67,37.0531505415396,6.38094718618268,3.59639537600055e-09,"MRSA pneumonia","Significant"
"72","480.2",61,131.778280543877,185,114.221719456123,3.52599453303376,1.71166718204486e-17,"Viral pneumonia","Significant"
"73","480.3",21,40.0900603321452,54,34.9099396678548,2.96878220453945,2.4226372673028e-05,"Pneumonia due to fungus","Significant"
"74","498",90,145.080923490083,181,125.919076509917,2.32733409138649,6.45030506354003e-11,"Acute bronchospasm","Significant"
"75","512.3",32,105.072111320614,170,96.9278886793861,5.7718549959446,9.61439649865966e-20,"Abnormal chest sounds","Significant"
"76","513.3",13,36.3488408969515,54,30.6511591030485,4.96866512437308,2.23668873676103e-07,"Hypoventilation","Significant"
"77","513.4",22,52.2438041138018,76,45.7561958861982,3.98188184685443,1.26517601451821e-08,"Hyperventilation","Significant"
"78","519",14,32.5424363145905,46,27.4575636854095,3.93251031147522,7.73779663158333e-06,"Diseases of respiratory system","Significant"
"79","519.1",6,29.1787054426936,50,26.8212945573064,9.11204800295616,3.20506336426495e-07,"Tracheostomy complications","Significant"
"80","519.8",71,108.715805039327,130,92.2841949606735,2.17036409354309,1.69364730843382e-07,"Other diseases of respiratory system","Significant"
"81","527.2",32,66.0943319289028,92,57.9056680710972,3.29647084792063,6.52093563915233e-09,"Sialoadenitis","Significant"
"82","527.7",32,63.2788571122734,85,53.7211428877266,3.15113161383973,3.41393093942773e-08,"Disturbance of salivary secretion","Significant"
"83","531.3",82,133.789639607823,168,116.210360392177,2.37261203397787,1.63029844418567e-10,"Duodenal ulcer","Significant"
"84","537.1",46,81.9939178400805,108,72.0060821599195,2.68593664490143,2.14989484804517e-08,"Lesions of stomach and duodenum","Significant"
"85","555.2",132,191.687886430251,236,176.312113569749,1.94827127567784,9.0082420745029e-10,"Ulcerative colitis","Significant"
"86","560.2",77,189.849451120964,274,161.150548879036,4.2339130947529,6.6768051925935e-29,"Impaction of intestine","Significant"
"87","560.3",53,78.6973192880321,94,68.3026807119679,2.05012391623506,3.04340531615896e-05,"Peritoneal or intestinal adhesions","Significant"
"88","562.2",366,479.314464662085,531,417.685535337915,1.66981530520408,5.26515824911818e-14,"Diverticulitis","Significant"
"89","564.9",75,106.530475446096,120,88.4695245539043,1.93717837249831,7.68720146861211e-06,"History of diseases of digestive system","Significant"
"90","565",177,229.097251092429,252,199.902748907571,1.63638598794477,5.53444696627653e-07,"Anal and rectal conditions","Significant"
"91","568",19,43.7106409949775,64,39.2893590050225,3.7612332216698,4.08748423093754e-07,"Other disorders of peritoneum","Significant"
"92","574.2",128,177.298206758968,200,150.701793241032,1.8456065010485,6.80389632909534e-08,"Calculus of bile duct","Significant"
"93","575.1",43,75.4264428169215,97,64.5735571830785,2.65442421271158,1.09935295408744e-07,"Cholangitis","Significant"
"94","585.34",403,475.595720516309,449,376.404279483691,1.4119552958412,5.57794214289177e-07,"Chronic Kidney Disease, Stage IV","Significant"
"95","588",51,106.569163551269,153,97.4308364487305,3.29766622192957,1.76224875468926e-13,"Disorders resulting from impaired renal function","Significant"
"96","588.1",29,68.002479978609,99,59.997520021391,3.89679844709585,1.2962221020192e-10,"Renal osteodystrophy","Significant"
"97","592.12",94,137.424979110223,165,121.575020889777,1.9905037542591,1.06746325166928e-07,"Chronic cystitis","Significant"
"98","593.1",506,612.689847995806,636,529.310152004194,1.45822294597104,2.73443690298803e-10,"Gross hematuria","Significant"
"99","594.1",506,586.398519130158,604,523.601480869842,1.33859437316743,1.37861351425949e-06,"Calculus of kidney","Significant"
"100","597",21,51.461776860436,76,45.538223139564,4.10877152422127,1.03647513212065e-08,"Other disorders of urethra and urinary tract","Significant"
"101","597.2",13,29.7001457185566,43,26.2998542814434,3.75858622587493,2.98041801416946e-05,"Urinary complications","Significant"
"102","599.1",111,181.120703054489,228,157.879296945511,2.36887918126454,1.08831383755638e-13,"Urinary obstruction","Significant"
"103","599.6",25,59.5457660813519,87,52.4542339186482,3.98625274562322,1.22411488467037e-09,"Oliguria and anuria","Significant"
"104","601.8",10,30.6482869216765,48,27.3517130783235,5.41457183130389,1.2210452008554e-06,"Other inflammatory disorders of male genital organs","Significant"
"105","608",72,112.277774860553,139,98.7222251394469,2.20405544353072,5.63495852804988e-08,"Male genital disorders","Significant"
"106","619.4",23,45.344088715315,61,38.655911284685,3.13401234716453,3.23862626318499e-06,"Noninflammatory disorders of vagina","Significant"
"107","687",66,175.100939233497,260,150.899060766503,4.61766434112139,1.75640552979102e-28,"Symptoms affecting skin","Significant"
"108","687.3",23,46.4491439090574,62,38.5508560909425,3.28178969240534,1.24846741735564e-06,"Changes in skin texture","Significant"
"109","697",37,61.5329680351448,82,57.4670319648552,2.38113266995298,1.22947667557645e-05,"Sarcoidosis","Significant"
"110","703.8",474,906.103248695483,1261,828.896751304517,2.91532040683991,1.35267160551481e-87,"Other specified diseases of nail","Significant"
"111","706.8",249,462.461619315106,613,399.538380684894,2.86602466308266,2.18476958640852e-44,"Other specified diseases of sebaceous glands","Significant"
"112","707.3",150,303.213887307397,413,259.786112692603,3.24089272432003,9.7238400987894e-35,"Chronic ulcer of unspecified site","Significant"
"113","711",7,23.6820008220205,38,21.3179991779795,6.07001981334009,1.19192556771547e-05,"Arthropathy associated with infections","Significant"
"114","712",12,41.0480077659457,66,36.9519922340543,6.17190221794236,7.12653163956253e-09,"Infective connective tissue disorders","Significant"
"115","724.9",48,81.0744827296742,103,69.9255172703259,2.50040994977505,1.68975648571369e-07,"Other unspecified back disorders","Significant"
"116","728",40,101.704347683294,154,92.2956523167059,4.26449905473687,3.3303070256919e-16,"Disorders of muscle, ligament, and fascia","Significant"
"117","731",11,32.1633966772924,49,27.8366033227076,5.17572102610439,8.59843914084081e-07,"Osteitis deformans and osteopathies associated with other disorders","Significant"
"118","735.3",417,520.682965661842,558,454.317034338158,1.53691639912249,3.52973984004259e-11,"Hallux valgus (Bunion)","Significant"
"119","735.4",103,138.195018336288,162,126.804981663712,1.7159298174708,1.86514956167025e-05,"Acquired deformities of ankle and foot","Significant"
"120","740.1",602,691.184881167751,704,614.815118832249,1.3161294245615,7.86725532475163e-07,"Osteoarthritis; localized","Significant"
"121","740.3",132,254.861728510269,351,228.138271489731,2.98477534980647,1.149245334552e-26,"Osteoarthrosis of multiple sites","Significant"
"122","741",100,156.487403992907,196,139.512596007093,2.20623713468634,1.31874390386419e-10,"Symptoms and disorders of the joints","Significant"
"123","743.22",37,81.9061106807113,119,74.0938893192887,3.56597216439701,1.49724717078989e-11,"Pathologic fracture of femur","Significant"
"124","747.1",74,142.239127122126,199,130.760872877874,2.93464474556229,2.87026847013136e-15,"Cardiac congenital anomalies","Significant"
"125","772",106,220.784314509248,312,197.215685490753,3.31023881552867,2.16711220420878e-26,"Symptoms of the muscles","Significant"
"126","790.9",8,25.9271871382064,40,22.0728128617936,5.93443417483488,4.46994415460404e-06,"Abnormal arterial blood gases","Significant"
"127","802",337,570.43039487187,721,487.56960512813,2.51937395651266,2.87558403911717e-44,"Fracture of pelvis","Significant"
"128","803",85,172.610331609565,241,153.389668390435,3.20708054755302,2.98125741113364e-20,"Fracture of upper limb","Significant"
"129","816",20,43.9220471062339,63,39.0779528937661,3.55524323344832,7.99896448763557e-07,"Cerebral laceration and contusion","Significant"
"130","818.1",81,273.818760013582,447,254.181239986418,5.96965709849857,1.84839630024322e-49,"Subdural hemorrhage (injury)","Significant"
"131","818.2",30,96.6397064692844,156,89.3602935307156,5.64189016500992,4.19068806430687e-18,"Subarachnoid hemorrhage (injury)","Significant"
"132","850",74,113.612205913515,141,101.387794086485,2.14118644115015,1.19401272460421e-07,"Hemorrhage or hematoma complicating a procedure","Significant"
"133","857",104,210.779965662968,285,178.220034337032,3.26918180791355,6.63678983286587e-25,"Mechanical complication of genitourinary device, implant, and graft","Significant"
"134","871.4",62,154.147051898415,223,130.852948101585,4.27617784701318,5.86983672524464e-24,"Open wound of toe(s)","Significant"
"135","876",19,62.927423543601,101,57.072576456399,5.89168813215704,1.38891788479075e-12,"Posttraumatic wound infection","Significant"
"136","911",49,91.7114735350971,119,76.2885264649028,2.94096010042398,2.36480132582012e-10,"Blister","Significant"
"137","958",47,72.1886301172065,85,59.8113698827935,2.19743901109908,1.61046940820887e-05,"Early complications of trauma or procedure","Significant"
"138","964.1",41,99.7242907369635,147,88.2757092630365,4.08375634388369,1.90846940331837e-15,"Anticoagulants causing adverse effects","Significant"
"139","966",6,45.5092082662881,81,41.4907917337119,14.9430899358531,1.6953677368044e-10,"Poisoning by anticonvulsants and anti-Parkinsonism drugs","Significant"
